uii_code,name,region,old_region,province,old_province,city_municipality,old_city_municipality,sector,latitude,longitude,coord_status,is_multi_campus,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
,AMA Computer College-Cotabato City,BARMM,BARMM,CITY OF COTABATO,CITY OF COTABATO,Cotabato City,Cotabato City,Private,7.2216421,124.2513046,valid,False,19,19087,1908703,1908703014
,Abubakar Computer Learning Center Foundation,BARMM,BARMM,Tawi-Tawi,Tawi-Tawi,Bongao,Bongao,Private,5.0123546,119.7655842,valid,False,19,19070,1907002,1907002033
,Academia de Tecnologia in Mindanao,BARMM,BARMM,CITY OF COTABATO,CITY OF COTABATO,Cotabato City,Cotabato City,Private,7.2046668,124.2310439,valid,False,19,19087,1908703,1908703029
,Adiong Memorial Polytechnic State College,BARMM,BARMM,Lanao Del Sur,Lanao Del Sur,DITSAAN-RAMAIN,DITSAAN-RAMAIN,Public SUC Main,7.9787345,124.3612369,valid,False,19,19036,1903606,1903606048
,Al Bangsamoro Shari'ah and Professional Education College,BARMM,BARMM,Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,Private,8.0051434,124.2801452,valid,False,19,19036,1903617,1903617141
,Antonio R. Pacheco College,BARMM,BARMM,CITY OF COTABATO,CITY OF COTABATO,Cotabato City,Cotabato City,Private,7.217,124.2480011,valid,False,19,19087,1908703,1908703020
,As-Salihein Integrated School Foundation,BARMM,BARMM,Lanao del Sur,Lanao del Sur,Tamparan,Tamparan,Private,7.8740788,124.3295686,valid,False,19,19036,1903626,1903626021
,Asma Khadijah Islamic Academy,BARMM,BARMM,Lanao del Sur,Lanao del Sur,Picong,Picong,Private,7.6907181,123.9415518,valid,False,19,19036,1903635,1903635024
,Bai Malgen Mama College,BARMM,BARMM,Maguindanao,Maguindanao,DATU ODIN SINSUAT,DATU ODIN SINSUAT,Private,7.188889,124.183889,valid,False,19,19087,1908705,1908705013
,Balabagan Trade School,BARMM,BARMM,Lanao Del Sur,Lanao Del Sur,Balabagan,Balabagan,OGS,7.5099424,124.1382876,valid,False,19,19036,1903602,1903602014
