school_id,school_name,latitude,longitude,coord_status,coord_rejection_reason,region,old_region,division,province,municipality,barangay,esc_participating,shsvp_participating,jdvp_participating,enrollment_status,school_management,annex_status,offers_es,offers_jhs,offers_shs,shs_strand_offerings,psgc_region,psgc_region_name,psgc_province,psgc_province_name,psgc_municity,psgc_municity_name,psgc_barangay,psgc_barangay_name,psgc_observed_barangay,psgc_validation,urban_rural,income_class
400000,"REESFI EDUCATION CENTER, INC.",10.008507,125.577687,valid,,CARAGA,CARAGA,Dinagat Island,DINAGAT ISLANDS,SAN JOSE (Capital),AURELIO,0,0,0,active,Non-Sectarian,Standalone School,True,False,False,,1600000000,Region XIII (Caraga),1608500000,Dinagat Islands,1608506000,San Jose ,1608506001,Aurelio,1608506001,psgc_match,R,4th
400001,"St. Andrew Academy of Bacarra, Inc.",18.25099,120.61212,valid,,Region I,Region I,Ilocos Norte,ILOCOS NORTE,BACARRA,SANTA RITA (POB.),1,1,0,active,Sectarian,Standalone School,False,True,True,GAS,0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102802000,Bacarra,0102802046,Santa Rita,0102802046,psgc_match,R,2nd
400002,"Badoc Junior College, Inc.",17.92755,120.47674,valid,,Region I,Region I,Ilocos Norte,ILOCOS NORTE,BADOC,CANAAN (POB.),1,1,0,active,Non-Sectarian,Standalone School,False,True,True,"ABM,TVL",0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102803000,Badoc,0102803008,Canaan ,0102803008,psgc_match,R,1st
400003,"IGAMA Colleges Foundation, Inc.",14.57929,121.06494,suspect,placeholder_default,Region I,Region I,Ilocos Norte,ILOCOS NORTE,BADOC,GARRETA (POB.),1,1,1,active,Non-Sectarian,Standalone School,True,True,True,"ABM,HUMSS,STEM,TVL",0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102803000,Badoc,0102803013,Garreta ,1381200013,psgc_mismatch,U,1st
400004,"Juan Luna Memorial Academy, Inc.",17.92804,120.47454,valid,,Region I,Region I,Ilocos Norte,ILOCOS NORTE,BADOC,ALOGOOG,1,1,0,active,Non-Sectarian,Standalone School,False,True,True,"GAS,STEM",0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102803000,Badoc,0102803002,Alogoog,0102803002,psgc_match,R,1st
400005,St. Elizabeth Elementary School,17.92759,120.4753,valid,,Region I,Region I,Ilocos Norte,ILOCOS NORTE,BADOC,GARRETA (POB.),0,0,0,active,Sectarian,Standalone School,True,False,False,,0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102803000,Badoc,0102803013,Garreta ,0102803008,psgc_mismatch,U,1st
400006,"St. Lawrence the Deacon Academy of Bangui, Ilocos Norte, Inc.",18.5368275,120.7655268,valid,,Region I,Region I,Ilocos Norte,ILOCOS NORTE,BANGUI,SAN LORENZO (POB.),1,1,1,active,Sectarian,Standalone School,False,True,True,GAS,0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102804000,Bangui,0102804012,San Lorenzo ,0102804012,psgc_match,R,2nd
400007,"Batac Institute, Inc.",18.0537871583226,120.56602170017,valid,,Region I,Region I,Batac City,ILOCOS NORTE,CITY OF BATAC,VALDEZ POB. (CAOAYAN),1,1,0,active,Non-Sectarian,Standalone School,False,True,True,"GAS,TVL",0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102805000,City of Batac,0102805018,Valdez Pob.,0102805018,psgc_match,R,3rd
400008,Batac Junior College,18.05532,120.5653,valid,,Region I,Region I,Batac City,ILOCOS NORTE,CITY OF BATAC,VALDEZ POB. (CAOAYAN),1,1,0,active,Non-Sectarian,Standalone School,True,True,True,"ABM,GAS,HUMSS,STEM,TVL",0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102805000,City of Batac,0102805018,Valdez Pob.,0102805018,psgc_match,R,3rd
400009,Eureka High School,18.0568,120.5628,valid,,Region I,Region I,Batac City,ILOCOS NORTE,CITY OF BATAC,CAUNAYAN (POB.),0,0,0,active,Non-Sectarian,Standalone School,False,True,False,,0100000000,Region I (Ilocos Region),0102800000,Ilocos Norte,0102805000,City of Batac,0102805017,Caunayan ,0102805024,psgc_mismatch,U,3rd
